rgiid	v0	a0	flag	tauv	tv_err	dv	dv_err	tauA	ta_err	da	da_err
15.06728	0.437826	5.34	0	21.866942096351917	0.04696867311691858	0.021267710841999583	4.944088591011863e-6	22.00844856785017	0.04146443846942147	0.212775798201932	0.000043536480759727795
15.06730	0.406376	5.5	0	21.95148608512307	0.039191917578800424	0.021362989991781482	4.1365362472971265e-6	21.958915570534565	0.0344294602863759	0.2367909214331748	0.00004027219045820253
15.06741	0.38955	5.79	0	22.225618084684186	0.03265907267003994	0.02326532211673662	3.7323959154657645e-6	21.257510721093436	0.06456518458750717	0.29388233797305957	0.00009515727235954296
15.06754	0.532403	5.66	0	23.35527868983088	0.048931930905525986	0.014801519244402248	3.4769512946970925e-6	23.90296107251657	0.0582524570355676	0.12403338411031338	0.00003431657195825449
15.06763	1.173665	8.1	0	57.178087641794065	0.08235016773632123	0.14012692739755495	0.00003751203803113437	60.721089172616566	0.05250076252493282	0.7411009036854228	0.00012352956137766033
15.06774	0.343393	3.71	0	106.31699287034908	0.17871133425391564	0.07830137973313575	0.00003661159085248308	111.11515543400236	0.13830537722409272	0.6736447320318686	0.00024058491911829787
15.06776	0.606576	6.04	0	21.319460036089865	0.04601304718656919	0.018712776783162237	4.312216858501609e-6	22.61909635479104	0.07897279696235297	0.147269206994801	0.00005666679703646875
15.06777	0.502276	3.79	0	71.30411388515391	0.08039157062423528	0.06396573590501167	0.000015365078805630464	70.28132295540475	0.1012768396071784	0.3928406078383392	0.00011951022984952145
15.06789	0.457314	5.57	0	38.802107032832964	0.03623564523691762	0.04485913315114185	6.211031223703728e-6	39.078532520688476	0.03898226952758689	0.4434411121027756	0.00006584799527649433
15.06807	0.43793	5.33	0	23.643549664156204	0.0430069347647942	0.01647722910043335	3.3826812163699944e-6	23.953741091548878	0.03775903757364881	0.1607340667461697	0.000028797498172443448
15.06817	0.24775	3.07	0	60.47258905221476	0.10850829713966097	0.04728524498020198	0.000016315851156301153	61.61785030738312	0.10966085950165165	0.4707054911186276	0.00016295159421977367
15.06826	4.566153	23.77	0	61.652792686640744	0.04341222960828318	0.22420238457026953	0.0000307195428691532	62.51089311333271	0.054487288473100894	0.922658348923828	0.000157827067348824
15.06845	0.684904	5.29	0	58.14198289167508	0.07932209059561646	0.08248546936584816	0.000021129257356497543	61.77975333899821	0.11679845724582201	0.49638413192326175	0.00018284027619504834
15.06854	0.454634	5.21	0	81.84344195497022	0.10649052202059289	0.12128009620743462	0.000036749776605286796	86.65405944945506	0.06935497735593273	1.1019763477785116	0.00021331390051961398
15.06861	0.412392	3.96	0	44.10787611497197	0.043193702774549904	0.05581744099525177	8.719433342618586e-6	44.207892937139924	0.05449277753321877	0.4346025594299663	0.00008556821442588337
15.06881	34.047948	156.	0	41.448978899999744	0.0540047221417407	1.1133571180363877	0.0002232935363683791	42.59234165646525	0.12992170434546432	4.046911820109968	0.0019300105497345363
15.06884	0.554995	5.35	0	39.45052257595452	0.04258448058003129	0.03860848531381435	6.237223792073451e-6	41.281422846403466	0.06781062912505335	0.2895658128478392	0.00007304825194029478
15.06889	0.416819	3.86	0	74.29825681342628	0.18040950557410987	0.07221412604164966	0.00003835164779351287	76.7544949067837	0.16267701371153975	0.5271632654623232	0.00024953913689986407
15.06896	1.255585	11.73	0	15.55544470121925	0.0509149797913188	0.018211786711460533	5.3870015818113025e-6	15.087321387599685	0.02916364586868204	0.14121550657877158	0.00002427662479747462
