rgiid v0 a03 flag tauv5 tv_err dv7 dv_err tauA9 ta_err dA11 da_err id13 tau e15 beta c17 id bt19  
14.26864 0.615274 6.35 0 48.721870189671804 0.22841552728039954 0.13339208242578662 0.00007170680934961511 76.07733166826787 0.9150394613770149 0.8784592004926629 0.0015485950908853906 14.26864 1599.990000 5453.865734 0.008 0.0000122 14.26864 -3.184037  
14.26871 0.585978 5.96 0 124.90014998957496 0.6865117132964293 0.2864561208050117 0.0003087099595492623 202.24943778033312 2.8905914339996985 1.846452750967448 0.007086755352066499 14.26871 2599.990000 5470.503444 0.005 0.0000104 14.26871 -1.865667  
14.26877 1.125049 10.19 0 83.00378514106492 0.3794756707521431 0.3842434046934108 0.00027052571386034077 114.24408113785424 1.0773752007998778 1.7847618119630024 0.003125645146996422 14.26877 2799.990000 5499.778618 0.010 0.0000095 14.26877 -4.072878  
14.26879 1.288359 8.47 0 210.516832725048 1.4901596451943109 0.9856461691781572 0.0019265344325618697 347.8991134290467 5.061353713677394 4.297330746839534 0.02468510457438751 14.26879 6799.990000 5566.921476 0.008 0.0000052 14.26879 -3.686933  
14.26883 1.071132 8.64 0 139.57700336335486 0.8090464137018963 0.5708716326729514 0.000695263597038733 193.44846048318098 1.8318524745176736 2.9378701653881585 0.007245294481586788 14.26883 3799.990000 5655.822500 0.008 0.0000087 14.26883 -3.207475  
14.26895 0.223148 3.15 0 92.49825452415674 0.5342873434349359 0.1497884801609169 0.00014181311290457023 156.92108765975 2.0311633874770334 1.5156528910531732 0.004443042838273813 14.26895 6999.990000 5744.745112 0.007 0.0000069 14.26895 -1.337508  
14.26897 0.331241 3.46 0 118.79416062275641 0.2707387264801969 0.1873488343813006 0.0000811904545518631 169.52876952605726 1.4993105711598664 1.2664081637191882 0.0026685074447248542 14.26897 2799.990000 5569.828067 0.008 0.0000078 14.26897 -2.405935  
14.26924 0.285189 3.04 0 118.93545680865026 0.316780498972619 0.15834637935299373 0.00008025422379101062 161.89394574009418 1.4039024844807835 1.0998475025299401 0.0022044291929467536 14.26924 1599.990000 6106.617582 0.007 0.0000130 14.26924 -1.965895  
14.26934 3.656652 27.3 0 182.31267746486756 1.1683718784214412 1.8466676769776866 0.0029602622475742653 306.21636823089926 4.686282553221882 8.512903530008412 0.04700176663831476 14.26934 4399.990000 6128.420217 0.006 0.0000104 14.26934 -4.654307  
14.26936 0.23369 2.86 0 158.1506598780151 1.2814251418459712 0.1333352204552534 0.00024591736272207266 201.10955858900854 1.333710876712106 1.0322253848913872 0.0018311115997365112 14.26936 1799.990000 6130.143783 0.008 0.0000122 14.26936 -2.549925  
14.26942 9.156817 54.51 0 179.69564616472852 0.7527863857217758 2.952485122128719 0.0030638343410804166 227.6510095720083 2.380459135990838 7.851847281454494 0.023954111084333245 14.26942 4799.990000 5960.803680 0.006 0.0000061 14.26942 -4.663295  
14.26947 1.159594 7.63 0 189.1677146958279 0.698189588636713 0.5643362175216908 0.0005342193613852785 287.9176998971077 3.6872848098752264 2.859380364576169 0.01264075217836654 14.26947 7599.990000 6119.120366 0.006 0.0000043 14.26947 -2.498869  
14.26971 2.956187 23.46 0 115.51252920878422 0.4528644395527036 1.1348936044418123 0.0008317950139372585 169.2961917572105 1.3281982558486065 4.175746264266262 0.007798321211218472 14.26971 3799.990000 6029.279539 0.010 0.0000130 14.26971 -6.21525  
14.27005 1.171796 8.71 0 125.49447464780654 0.5851313185731296 0.35499127942451636 0.0003254782980032994 176.93564296193452 2.1363515908191197 1.1983501633112144 0.0035470656807941653 14.27005 1599.990000 5927.762676 0.007 0.0000113 14.27005 -4.543573  
14.27012 0.813466 6.28 0 114.67193549912129 0.2654196380800919 0.2368677372968598 0.00010204403225156439 155.14003981003987 1.319324981931817 1.1059144717234313 0.002114219189742065 14.27012 1999.990000 5848.660889 0.007 0.0000130 14.27012 -3.220828  
14.27053 0.208495 2.65 0 63.32011992373548 0.23580140546564507 0.10637354722981818 0.000052404685888691826 97.51611990053071 0.9710120427558053 0.8686755639810085 0.0014621105322246114 14.27053 2799.990000 5791.572526 0.010 0.0000087 14.27053 -2.455398  
14.27057 0.349418 3.86 0 87.697890370988 0.39193232154127783 0.15929308042896903 0.00011314484604497011 128.25129098424873 1.397308593078337 1.045041418038009 0.002269141215212625 14.27057 1799.990000 5821.383849 0.007 0.0000130 14.27057 -2.022984  
14.27104 0.181779 2.7 0 100.20948732613644 0.3306596875378587 0.09609031896286291 0.00005445937149788234 141.898469137823 1.5596976312317061 0.8968521320702345 0.0020929735315336796 14.27104 4399.990000 5559.043374 0.006 0.0000069 14.27104 -1.382401  
14.27111 0.483373 5.28 0 105.99406671920362 0.4517439110837838 0.3044914685154293 0.0002304203491327269 180.42405044633063 1.8804158000485893 2.171080478910913 0.005620329317285081 14.27111 3199.990000 5460.667104 0.008 0.0000078 14.27111 -2.454404  
14.27786 1.515464 9.95 0 82.09353677190362 0.17856352501909487 0.23830413691470909 0.00007932287451117804 95.28827877358415 0.729562420412215 1.4610368100223594 0.0018654846251914897 14.27786 2999.990000 5639.973140 0.009 0.0000095 14.27786 -3.922377  
14.27791 0.37633 2.92 0 196.44683025816153 0.8566222461738554 0.3012499296889796 0.0003457450526122409 294.5533854409265 1.878502388507738 1.9150124044645112 0.0042853231453359435 14.27791 3399.990000 5763.300255 0.010 0.0000061 14.27791 -2.532976  
14.27796 0.432925 4.27 0 90.1478093463834 0.38210333171732785 0.18731038411413348 0.00012820577442245118 131.18197795842428 1.4470915209937876 1.1095128411125856 0.002473634569178722 14.27796 4399.990000 5808.065989 0.008 0.0000113 14.27796 -2.429685  
14.27801 0.96953 6.5 0 260.7968663032518 1.4731594536826345 0.8572324931581221 0.0015567682894323564 454.29367141233666 6.556024861313826 4.337712031346007 0.029528357999449764 14.27801 2399.990000 6052.113847 0.008 0.0000087 14.27801 -4.020203  
15.02698 1.419493 14.28 0 71.98385630624249 0.3497530865105333 0.292632834063519 0.00020200887669971735 97.89775925913803 1.0306048554329004 1.1968943102812748 0.0021347324782800777 15.02698 1799.990000 5708.962711 0.008 0.0000113 15.02698 -4.163866  
15.02699 0.307193 3.51 0 61.88963347826574 0.2159972747250128 0.1214626471030121 0.0000553768822772611 101.61037805660601 0.9428375893241195 0.9233736424418129 0.001483710139956867 15.02699 1799.990000 7211.812936 0.010 0.0000052 15.02699 -3.55636  
15.02702 0.219088 2.74 0 74.47250282001642 0.3519647382924741 0.08352807064435261 0.000057167361925901294 117.11125542374548 1.2546306605773117 0.7305258624115786 0.0014753295750800537 15.02702 2399.990000 5891.245913 0.007 0.0000113 15.02702 -2.148507  
